Component_Type,Manufacturer,Model,Spec_1,Spec_2,Spec_3,Year,Month,Day,Week,Merchant,Region_Code,Currency,Price_USD,Price_Original
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,4,10,15,OutletPC,us,USD,29.98,29.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,4,10,15,SuperBiiz,us,USD,25.99,25.99
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,4,13,16,Newegg,us,USD,31.98,31.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,4,21,17,Newegg,us,USD,31.86,31.86
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,5,4,19,OutletPC,us,USD,28.88,28.88
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,5,27,22,Newegg,us,USD,29.98,29.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,5,31,23,Newegg,us,USD,29.98,29.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,1,23,Newegg,us,USD,29.98,29.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,2,23,Newegg,us,USD,31.98,31.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,4,23,OutletPC,us,USD,28.88,28.88
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,9,24,Newegg,us,USD,31.98,31.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,13,25,Newegg,us,USD,31.98,31.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,15,25,Newegg,us,USD,31.98,31.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,16,25,Newegg,us,USD,31.98,31.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,17,25,Newegg,us,USD,30.98,30.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,17,25,OutletPC,us,USD,27.88,27.88
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,6,19,25,Newegg,us,USD,30.98,30.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,7,8,28,Newegg,us,USD,29.98,29.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,7,12,29,Newegg,us,USD,33.98,33.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,7,25,31,Newegg,us,USD,33.98,33.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,5,32,Newegg,us,USD,33.98,33.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,10,33,Newegg,us,USD,33.98,33.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,12,33,Newegg,us,USD,33.98,33.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,19,34,Newegg,us,USD,33.98,33.98
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,20,34,Newegg Marketplace,us,USD,32.53,32.53
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,21,34,Newegg Marketplace,us,USD,32.74,32.74
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,25,35,Newegg Marketplace,us,USD,32.74,32.74
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,26,35,Newegg Marketplace,us,USD,32.74,32.74
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,27,35,Newegg Marketplace,us,USD,32.35,32.35
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,28,35,Newegg Marketplace,us,USD,32.74,32.74
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,8,31,36,Newegg Marketplace,us,USD,32.35,32.35
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,9,1,36,Newegg Marketplace,us,USD,32.74,32.74
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,9,8,37,Newegg Marketplace,us,USD,32.54,32.54
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,9,16,38,Newegg Marketplace,us,USD,32.69,32.69
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,9,19,39,Newegg Marketplace,us,USD,31.65,31.65
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,9,22,39,Newegg Marketplace,us,USD,32.69,32.69
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,9,26,40,Newegg Marketplace,us,USD,32.62,32.62
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,10,9,41,Newegg Marketplace,us,USD,32.54,32.54
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,10,13,42,Newegg Marketplace,us,USD,33.09,33.09
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,10,14,42,Newegg Marketplace,us,USD,32.54,32.54
CPU,AMD,Amd Sempron 2650,Amd 2650,2.0,AMD Socket AM1,2016,10,18,43,Newegg Marketplace,us,USD,32.33,32.33
